month,total_assets_eom_bil,total_assets_month_avg_proxy_bil,weighted_7day_net_yield_eom_pct,weighted_7day_net_yield_month_avg_proxy_pct,income_base_month_bil,source_id
2022-01,5089.800,5152.400,0.026075,0.025253,0.108429,SEC_MMF_STATS_2024_12_TABLE_A2_A4
2022-02,5060.500,5075.150,0.028211,0.027142,0.114793,SEC_MMF_STATS_2024_12_TABLE_A2_A4
2022-03,5100.600,5080.550,0.166594,0.097301,0.411951,SEC_MMF_STATS_2024_12_TABLE_A2_A4
2022-04,5037.200,5068.900,0.241908,0.204219,0.862639,SEC_MMF_STATS_2024_12_TABLE_A2_A4
2022-05,5017.700,5027.450,0.625572,0.433694,1.816978,SEC_MMF_STATS_2024_12_TABLE_A2_A4
2022-06,5044.200,5030.950,1.228122,0.926988,3.886360,SEC_MMF_STATS_2024_12_TABLE_A2_A4
2022-07,5101.700,5072.950,1.630902,1.429524,6.043253,SEC_MMF_STATS_2024_12_TABLE_A2_A4
2022-08,5105.100,5103.400,2.045128,1.837742,7.815611,SEC_MMF_STATS_2024_12_TABLE_A2_A4
2022-09,5095.600,5100.350,2.701062,2.373085,10.086303,SEC_MMF_STATS_2024_12_TABLE_A2_A4
2022-10,5131.400,5113.500,2.901065,2.801081,11.936107,SEC_MMF_STATS_2024_12_TABLE_A2_A4
2022-11,5179.800,5155.600,3.575531,3.238118,13.912035,SEC_MMF_STATS_2024_12_TABLE_A2_A4
2022-12,5234.600,5207.200,4.071706,3.823562,16.591712,SEC_MMF_STATS_2024_12_TABLE_A2_A4
